Distance_(microns),Gray_Value
0.000,171.870
16.555,172.348
33.110,171.522
49.665,170.386
66.220,171.668
82.775,172.364
99.330,173.043
115.885,175.272
132.440,177.120
148.995,177.245
165.550,176.701
182.105,176.413
198.660,175.576
215.215,174.750
231.770,176.060
248.325,177.864
264.880,178.995
281.435,178.658
297.990,175.141
314.545,172.033
331.100,174.446
347.655,176.272
364.210,175.527
380.765,176.571
397.320,177.158
413.875,176.560
430.430,178.283
446.985,181.685
463.540,184.386
480.096,183.136
496.651,182.516
513.206,182.848
529.761,179.924
546.316,178.543
562.871,181.179
579.426,183.755
595.981,185.261
612.536,185.065
629.091,183.103
645.646,181.571
662.201,183.353
678.756,187.793
695.311,192.120
711.866,194.071
728.421,192.793
744.976,191.870
761.531,191.913
778.086,190.250
794.641,189.386
811.196,189.505
827.751,187.288
844.306,186.293
860.861,187.239
877.416,187.462
893.971,189.478
910.526,191.293
927.081,191.304
943.636,192.810
960.191,195.402
976.746,196.859
993.301,197.587
1009.856,197.185
1026.411,196.212
1042.966,196.125
1059.521,195.397
1076.076,193.957
1092.631,195.261
1109.186,196.446
1125.741,194.647
1142.296,193.766
1158.851,196.832
1175.406,200.054
1191.961,202.016
1208.516,203.739
1225.071,203.989
1241.626,205.837
1258.181,209.065
1274.736,209.913
1291.291,208.799
1307.846,206.880
1324.401,204.429
1340.956,201.462
1357.511,201.630
1374.067,205.130
1390.621,205.815
1407.177,204.038
1423.732,204.196
1440.287,206.549
1456.842,209.016
1473.397,210.745
1489.952,214.011
1506.507,216.228
1523.062,216.864
1539.617,217.082
1556.172,215.935
1572.727,215.946
1589.282,217.592
1605.837,217.837
1622.392,217.484
1638.947,216.832
1655.502,213.940
1672.057,211.891
1688.612,213.293
1705.167,218.016
1721.722,224.120
1738.277,226.228
1754.832,224.408
1771.387,223.353
1787.942,223.397
1804.497,223.185
1821.052,223.690
1837.607,222.668
1854.162,222.424
1870.717,225.582
1887.272,226.717
1903.827,225.842
1920.382,225.027
1936.937,224.565
1953.492,226.723
1970.047,228.587
1986.602,231.690
2003.157,235.891
2019.712,238.114
2036.267,240.326
2052.822,242.603
2069.377,244.435
2085.932,245.886
2102.487,245.516
2119.042,244.326
2135.597,245.272
2152.152,246.402
2168.707,246.065
2185.262,246.516
2201.817,249.804
2218.372,255.168
2234.927,260.364
2251.482,265.185
2268.037,265.848
2284.593,261.761
2301.147,263.408
2317.703,271.016
2334.258,276.598
2350.812,279.484
2367.368,282.918
2383.923,286.995
2400.478,287.832
2417.033,288.190
2433.588,293.255
2450.143,300.125
2466.698,306.489
2483.253,312.424
2499.808,316.478
2516.363,321.946
2532.918,327.717
2549.473,332.310
2566.028,340.658
2582.583,349.995
2599.138,358.880
2615.693,369.141
2632.248,377.255
2648.803,381.201
2665.358,384.201
2681.913,390.495
2698.468,397.630
2715.023,406.587
2731.578,421.516
2748.133,436.799
2764.688,447.918
2781.243,456.022
2797.798,464.228
2814.353,475.473
2830.908,486.946
2847.463,497.478
2864.018,511.326
2880.573,530.484
2897.128,550.217
2913.683,567.793
2930.238,585.120
2946.793,602.913
2963.348,623.614
2979.903,647.935
2996.458,674.321
3013.013,706.370
3029.568,741.543
3046.123,775.038
3062.678,812.326
3079.233,856.826
3095.788,902.908
3112.343,950.120
3128.898,1002.196
3145.453,1058.217
3162.009,1118.810
3178.563,1176.891
3195.118,1222.701
3211.674,1264.723
3228.229,1307.788
3244.783,1346.696
3261.339,1380.636
3277.894,1408.255
3294.448,1427.109
3311.004,1438.223
3327.559,1446.277
3344.114,1453.592
3360.669,1456.522
3377.224,1453.266
3393.779,1446.120
3410.334,1437.592
3426.889,1434.011
3443.444,1439.728
3459.999,1447.837
3476.554,1450.380
3493.109,1445.598
3509.664,1435.489
3526.219,1425.011
3542.774,1416.288
3559.329,1412.826
3575.884,1414.326
3592.439,1413.136
3608.994,1410.946
3625.549,1414.799
3642.104,1417.864
3658.659,1421.125
3675.214,1426.647
3691.769,1425.054
3708.324,1423.000
3724.879,1425.277
3741.434,1429.152
3757.989,1435.571
3774.544,1439.027
3791.099,1441.897
3807.654,1451.761
3824.209,1461.337
3840.764,1466.011
3857.319,1474.201
3873.874,1482.929
3890.429,1487.995
3906.984,1494.342
3923.539,1504.913
3940.094,1519.120
3956.649,1529.326
3973.204,1533.027
3989.759,1538.527
4006.314,1545.207
4022.869,1550.973
4039.424,1560.326
4055.979,1571.125
4072.534,1580.848
4089.089,1588.875
4105.645,1594.266
4122.200,1598.750
4138.754,1605.190
4155.310,1612.016
4171.865,1620.734
4188.419,1630.951
4204.975,1637.147
4221.530,1640.859
4238.084,1643.304
4254.640,1644.799
4271.195,1650.092
4287.750,1654.266
4304.305,1655.038
4320.860,1663.467
4337.415,1673.179
4353.970,1676.207
4370.525,1680.022
4387.080,1684.522
4403.635,1691.245
4420.190,1700.587
4436.745,1706.603
4453.300,1708.478
4469.855,1708.799
4486.410,1711.995
4502.965,1714.891
4519.520,1715.027
4536.075,1719.239
4552.630,1725.457
4569.185,1726.908
4585.740,1727.652
4602.295,1734.071
4618.850,1741.283
4635.405,1744.810
4651.960,1743.212
4668.515,1741.576
4685.070,1746.712
4701.625,1750.707
4718.180,1752.842
4734.735,1759.967
4751.290,1768.652
4767.845,1771.125
4784.400,1768.467
4800.955,1770.207
4817.510,1777.207
4834.065,1782.462
4850.620,1781.717
4867.175,1780.538
4883.730,1781.103
4900.285,1783.277
4916.840,1786.755
4933.396,1793.543
4949.950,1798.277
4966.505,1796.082
4983.061,1798.951
4999.615,1804.293
5016.170,1807.337
5032.726,1810.027
5049.280,1805.935
5065.835,1800.984
5082.391,1802.141
5098.945,1807.402
5115.500,1814.772
5132.056,1818.364
5148.610,1818.152
5165.166,1821.957
5181.721,1826.136
5198.276,1829.087
5214.831,1833.005
5231.386,1834.408
5247.941,1834.185
5264.496,1831.880
5281.051,1831.087
5297.606,1836.717
5314.161,1840.402
5330.716,1839.076
5347.271,1841.429
5363.826,1844.652
5380.381,1844.690
5396.936,1844.190
5413.491,1845.375
5430.046,1853.022
5446.601,1858.630
5463.156,1857.946
5479.711,1862.299
5496.266,1869.848
5512.821,1871.853
5529.376,1867.234
5545.931,1865.092
5562.486,1872.348
5579.041,1875.929
5595.596,1871.516
5612.151,1871.625
5628.706,1872.967
5645.261,1870.402
5661.816,1869.054
5678.371,1870.043
5694.926,1875.489
5711.481,1880.435
5728.036,1880.940
5744.591,1886.582
5761.146,1894.109
5777.701,1898.853
5794.256,1903.755
5810.812,1905.130
5827.366,1908.853
5843.921,1912.576
5860.477,1909.315
5877.031,1907.723
5893.586,1910.549
5910.142,1911.185
5926.696,1910.929
5943.251,1914.125
5959.807,1921.125
5976.361,1923.788
5992.917,1918.978
6009.472,1923.000
6026.026,1935.060
6042.582,1939.489
6059.137,1936.380
6075.691,1931.598
6092.247,1931.364
6108.802,1935.603
6125.356,1939.489
6141.912,1942.000
6158.467,1942.761
6175.021,1943.967
6191.577,1948.337
6208.132,1950.717
6224.687,1951.527
6241.242,1954.712
6257.797,1955.728
6274.352,1954.141
6290.907,1955.641
6307.462,1962.543
6324.017,1969.630
6340.572,1973.071
6357.127,1975.929
6373.682,1976.332
6390.237,1970.978
6406.792,1965.886
6423.347,1965.087
6439.902,1967.277
6456.457,1972.082
6473.012,1976.620
